[2025-05-03 20:03:23] INFO: MongoDB disconnected. Attempting to reconnect...
[2025-05-03 20:03:29] INFO: Successfully connected to MongoDB
[2025-05-03 20:24:30] INFO: [Mongoose] users.findOne {"email":"dev.tester008@gmail.com"} {}
[2025-05-03 20:24:42] INFO: [Mongoose] users.findOne {"email":"dev.tester008@gmail.com"} {}
[2025-05-03 20:24:57] INFO: [Mongoose] users.findOne {"email":"dev.tester008@gmail.com"} {}
[2025-05-03 20:24:57] INFO: [Mongoose] users.updateOne {"_id":"67da9b9feb5c288501e77aac","__v":78} {"$set":{"tokens":["eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY3ZGE5YjlmZWI1YzI4ODUwMWU3N2FhYyIsImVtYWlsIjoiZGV2LnRlc3RlcjAwOEBnbWFpbC5jb20iLCJyb2xlIjoidXNlciIsImlhdCI6MTc0NjMwMDI5NywiZXhwIjoxNzQ2Mzg2Njk3fQ.RtJI6EGI2BgUqSgl-tUggepb_P8p207MakF_6QFNOag"],"lastLogin":"2025-05-03T19:24:57.704Z","updatedAt":"2025-05-03T19:24:57.709Z"},"$inc":{"__v":1}}
[2025-05-03 20:44:45] INFO: [Mongoose] users.findOne {"email":"dev.tester008@gmail.com"} {}
[2025-05-03 20:44:45] INFO: [Mongoose] users.updateOne {"_id":"67da9b9feb5c288501e77aac","__v":79} {"$set":{"tokens":["eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY3ZGE5YjlmZWI1YzI4ODUwMWU3N2FhYyIsImVtYWlsIjoiZGV2LnRlc3RlcjAwOEBnbWFpbC5jb20iLCJyb2xlIjoidXNlciIsImlhdCI6MTc0NjMwMTQ4NSwiZXhwIjoxNzQ2Mzg3ODg1fQ._5cNb1YHA28a2KFeLPgaPD9upD30oOOg7dTTKcwAfIw"],"lastLogin":"2025-05-03T19:44:45.673Z","updatedAt":"2025-05-03T19:44:45.676Z"},"$inc":{"__v":1}}
[2025-05-03 21:58:30] INFO: [Mongoose] users.findOne {"email":"dev.tester008@gmail.com"} {}
[2025-05-03 21:58:31] INFO: [Mongoose] users.updateOne {"_id":"67da9b9feb5c288501e77aac","__v":80} {"$set":{"tokens":["eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY3ZGE5YjlmZWI1YzI4ODUwMWU3N2FhYyIsImVtYWlsIjoiZGV2LnRlc3RlcjAwOEBnbWFpbC5jb20iLCJyb2xlIjoidXNlciIsImlhdCI6MTc0NjMwNTkxMSwiZXhwIjoxNzQ2MzkyMzExfQ.ydWo2L8S0kSJwrbBGiqaJfqadL2DxpTIE6YV1KEytZ4"],"lastLogin":"2025-05-03T20:58:31.010Z","updatedAt":"2025-05-03T20:58:31.013Z"},"$inc":{"__v":1}}
[2025-05-03 23:44:27] INFO: [Mongoose] users.findOne {"email":"dev.tester008@gmail.com"} {}
[2025-05-03 23:44:28] INFO: [Mongoose] users.updateOne {"_id":"67da9b9feb5c288501e77aac","__v":81} {"$set":{"tokens":["eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6IjY3ZGE5YjlmZWI1YzI4ODUwMWU3N2FhYyIsImVtYWlsIjoiZGV2LnRlc3RlcjAwOEBnbWFpbC5jb20iLCJyb2xlIjoidXNlciIsImlhdCI6MTc0NjMxMjI2NywiZXhwIjoxNzQ2Mzk4NjY3fQ.8iavtxdIQ7Qh05qRq6nVGws60caZ47tmnzPNiMkcUsY"],"lastLogin":"2025-05-03T22:44:27.997Z","updatedAt":"2025-05-03T22:44:28.001Z"},"$inc":{"__v":1}}
